2025-07-28 23:10:43,418 |    INFO | __main__ | 🔖  Logging to logs/whisper_tiny_cv_fully_synthetic_nl_20250728_231043.log
2025-07-28 23:10:43,627 |    INFO | root | Using device: cuda
2025-07-28 23:10:43,627 |    INFO | root | Using model: yuriyvnv/whisper-tiny-cv-fully-synthetic-nl
2025-07-28 23:10:43,627 |    INFO | root | Loading model... 🎯
2025-07-28 23:10:46,160 |    INFO | root | Using device: cuda 💻
2025-07-28 23:10:46,160 |    INFO | root | Loading Common Voice 17.0 dataset... 📊
2025-07-28 23:10:46,458 |   ERROR | root | README.md:   0%|          | 0.00/12.7k [00:00<?, ?B/s]
2025-07-28 23:10:46,460 |   ERROR | root | README.md: 100%|##########| 12.7k/12.7k [00:00<00:00, 6.96MB/s]
2025-07-28 23:10:46,765 |   ERROR | root | common_voice_17_0.py:   0%|          | 0.00/8.19k [00:00<?, ?B/s]
2025-07-28 23:10:46,766 |   ERROR | root | common_voice_17_0.py: 100%|##########| 8.19k/8.19k [00:00<00:00, 23.2MB/s]
2025-07-28 23:10:48,986 |   ERROR | root | languages.py:   0%|          | 0.00/3.92k [00:00<?, ?B/s]
2025-07-28 23:10:48,986 |   ERROR | root | languages.py: 100%|##########| 3.92k/3.92k [00:00<00:00, 15.3MB/s]
2025-07-28 23:10:49,307 |   ERROR | root | release_stats.py:   0%|          | 0.00/132k [00:00<?, ?B/s]
2025-07-28 23:10:49,403 |   ERROR | root | release_stats.py: 100%|##########| 132k/132k [00:00<00:00, 1.38MB/s]
2025-07-28 23:10:49,982 |   ERROR | root | n_shards.json:   0%|          | 0.00/17.5k [00:00<?, ?B/s]
2025-07-28 23:10:49,984 |   ERROR | root | n_shards.json: 100%|##########| 17.5k/17.5k [00:00<00:00, 11.5MB/s]
2025-07-28 23:10:50,424 |   ERROR | root | nl_train_0.tar:   0%|          | 0.00/1.05G [00:00<?, ?B/s]
2025-07-28 23:10:50,800 |   ERROR | root | nl_train_0.tar:   1%|          | 10.5M/1.05G [00:00<00:37, 28.0MB/s]
2025-07-28 23:10:50,914 |   ERROR | root | nl_train_0.tar:   2%|1         | 21.0M/1.05G [00:00<00:21, 47.4MB/s]
2025-07-28 23:10:51,043 |   ERROR | root | nl_train_0.tar:   3%|2         | 31.5M/1.05G [00:00<00:17, 58.5MB/s]
2025-07-28 23:10:51,153 |   ERROR | root | nl_train_0.tar:   4%|3         | 41.9M/1.05G [00:00<00:14, 69.1MB/s]
2025-07-28 23:10:51,261 |   ERROR | root | nl_train_0.tar:   5%|4         | 52.4M/1.05G [00:00<00:12, 77.0MB/s]
2025-07-28 23:10:51,371 |   ERROR | root | nl_train_0.tar:   6%|5         | 62.9M/1.05G [00:00<00:11, 82.4MB/s]
2025-07-28 23:10:51,480 |   ERROR | root | nl_train_0.tar:   7%|6         | 73.4M/1.05G [00:01<00:11, 86.4MB/s]
2025-07-28 23:10:51,589 |   ERROR | root | nl_train_0.tar:   8%|7         | 83.9M/1.05G [00:01<00:10, 89.4MB/s]
2025-07-28 23:10:51,697 |   ERROR | root | nl_train_0.tar:   9%|8         | 94.4M/1.05G [00:01<00:10, 91.6MB/s]
2025-07-28 23:10:51,806 |   ERROR | root | nl_train_0.tar:  10%|9         | 105M/1.05G [00:01<00:10, 93.0MB/s]
2025-07-28 23:10:51,914 |   ERROR | root | nl_train_0.tar:  11%|#         | 115M/1.05G [00:01<00:09, 94.2MB/s]
2025-07-28 23:10:52,051 |   ERROR | root | nl_train_0.tar:  12%|#1        | 126M/1.05G [00:01<00:10, 88.0MB/s]
2025-07-28 23:10:52,182 |   ERROR | root | nl_train_0.tar:  13%|#2        | 136M/1.05G [00:01<00:10, 85.4MB/s]
2025-07-28 23:10:52,289 |   ERROR | root | nl_train_0.tar:  14%|#3        | 147M/1.05G [00:01<00:10, 88.8MB/s]
2025-07-28 23:10:52,400 |   ERROR | root | nl_train_0.tar:  15%|#4        | 157M/1.05G [00:01<00:09, 90.5MB/s]
2025-07-28 23:10:52,512 |   ERROR | root | nl_train_0.tar:  16%|#5        | 168M/1.05G [00:02<00:09, 91.5MB/s]
2025-07-28 23:10:52,631 |   ERROR | root | nl_train_0.tar:  17%|#6        | 178M/1.05G [00:02<00:09, 90.6MB/s]
2025-07-28 23:10:52,742 |   ERROR | root | nl_train_0.tar:  18%|#7        | 189M/1.05G [00:02<00:09, 91.6MB/s]
2025-07-28 23:10:52,858 |   ERROR | root | nl_train_0.tar:  19%|#8        | 199M/1.05G [00:02<00:09, 91.3MB/s]
2025-07-28 23:10:52,965 |   ERROR | root | nl_train_0.tar:  20%|#9        | 210M/1.05G [00:02<00:09, 93.0MB/s]
2025-07-28 23:10:53,075 |   ERROR | root | nl_train_0.tar:  21%|##        | 220M/1.05G [00:02<00:08, 93.7MB/s]
2025-07-28 23:10:53,190 |   ERROR | root | nl_train_0.tar:  22%|##1       | 231M/1.05G [00:02<00:08, 92.9MB/s]
2025-07-28 23:10:53,300 |   ERROR | root | nl_train_0.tar:  23%|##2       | 241M/1.05G [00:02<00:08, 93.6MB/s]
2025-07-28 23:10:53,410 |   ERROR | root | nl_train_0.tar:  24%|##3       | 252M/1.05G [00:02<00:08, 94.3MB/s]
2025-07-28 23:10:53,517 |   ERROR | root | nl_train_0.tar:  25%|##4       | 262M/1.05G [00:03<00:08, 95.2MB/s]
2025-07-28 23:10:53,627 |   ERROR | root | nl_train_0.tar:  26%|##5       | 273M/1.05G [00:03<00:08, 95.4MB/s]
2025-07-28 23:10:53,735 |   ERROR | root | nl_train_0.tar:  27%|##6       | 283M/1.05G [00:03<00:07, 96.0MB/s]
2025-07-28 23:10:53,844 |   ERROR | root | nl_train_0.tar:  28%|##7       | 294M/1.05G [00:03<00:07, 96.0MB/s]
2025-07-28 23:10:53,952 |   ERROR | root | nl_train_0.tar:  29%|##8       | 304M/1.05G [00:03<00:07, 96.2MB/s]
2025-07-28 23:10:54,061 |   ERROR | root | nl_train_0.tar:  30%|##9       | 315M/1.05G [00:03<00:07, 96.3MB/s]
2025-07-28 23:10:54,169 |   ERROR | root | nl_train_0.tar:  31%|###       | 325M/1.05G [00:03<00:07, 96.5MB/s]
2025-07-28 23:10:54,278 |   ERROR | root | nl_train_0.tar:  32%|###1      | 336M/1.05G [00:03<00:07, 96.4MB/s]
2025-07-28 23:10:54,387 |   ERROR | root | nl_train_0.tar:  33%|###2      | 346M/1.05G [00:03<00:07, 96.2MB/s]
2025-07-28 23:10:54,495 |   ERROR | root | nl_train_0.tar:  34%|###3      | 357M/1.05G [00:04<00:07, 96.5MB/s]
2025-07-28 23:10:54,605 |   ERROR | root | nl_train_0.tar:  35%|###4      | 367M/1.05G [00:04<00:07, 96.3MB/s]
2025-07-28 23:10:54,713 |   ERROR | root | nl_train_0.tar:  36%|###5      | 377M/1.05G [00:04<00:06, 96.4MB/s]
